TIC_ID,ASASSN-V,RAJ2000,DEJ2000,Vmag,Amp,Per,Type,Prob,HJD,Gaia,pmRA,pmDE,Vt,Dist,WISEA,Jmag,J-K,W1-W2,APASS,B-V,E(B-V),Ref,URL,2M,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
31281821,J052925.35-285227.5,82.35562,-28.87431,14.68,0.17,2.1334846,ROT,0.972,2458037.83219,2906679938602481664,21.929,-0.312,8.21084,78.99,J052925.31-285227.4,10.969,0.863,0.175,18481413,1.457,0.035,II,https://asas-sn.osu.edu/variables/62047,2M,39.966627,-1,GAIA,1.1414000000000009
31998499,J034224.93-655915.8,55.60387,-65.98771,16.6,0.86,0.7427078,EA,0.994,2456890.8191,4672510009540193280,5.35369,-4.5193,122.41589,3686.21,J034224.90-655915.9,15.465,-0.026,-0.083,36348922,0.567,0.108,III,https://asas-sn.osu.edu/variables/AP36348922,2M,114.520277,-1,V,5.7490000000000006
32959497,J165142.67-305849.8,252.92778,-30.9805,13.84,0.42,5.0073904,EA,0.999,2458205.7523,6027951935302201344,-1.784,-4.437,25.17041,1110.41,J165142.68-305849.7,11.823,0.465,-0.042,53247895,1.019,0.442,V,https://asas-sn.osu.edu/variables/AP53247895,2M,24.999136,-1,V,5.059999999999999
33689349,J061146.19-174233.1,92.94247,-17.70919,14.54,0.15,9.3845728,ROT,0.995,2457645.81866,2942991275751175168,-0.383,-0.529,5.6736,1832.76,J061146.17-174233.3,12.615,0.636,-0.009,19015186,0.923,0.137,V,https://asas-sn.osu.edu/variables/AP19015186,2M,100.782592,-1,V,3.5639999999999983
33797512,J061333.24-171909.1,93.38848,-17.31919,13.0,0.13,0.5172377,EW,0.975,2458140.83929,2944528393007199232,-1.477,-3.752,22.69824,1187.59,J061333.23-171909.0,12.229,0.28,0.004,,,0.147,VI,https://asas-sn.osu.edu/variables/J061333.23-171909.1,2M,43.596289,-1,V,1.4339999999999993
35044762,J095059.01-425034.5,147.74588,-42.84285,13.61,1.64,NON PERIODIC,L,1.0,2457722.7586,5418982541133868032,-4.168,2.601,52.03543,2234.47,J095059.01-425034.4,7.683,2.134,0.283,42180318,,0.359,I,https://asas-sn.osu.edu/variables/475286,2M,101.588859,-1,V,1.8899999999999988
35410007,J064719.89-130622.2,101.83289,-13.10616,12.6,0.14,0.3758875,EW,1.0,2458116.81661,2952361382565252096,-7.017,-18.026,57.96463,632.19,J064719.87-130622.0,11.573,0.279,-0.009,19157290,0.459,0.502,V,https://asas-sn.osu.edu/variables/AP19157290,2M,35.795178,-1,V,2.7720000000000002
35654635,J095458.10-444839.1,148.74209,-44.81085,9.75,1.19,NON PERIODIC,VAR,0.453,2457568.51493,5411880245777924096,-9.968,10.686,9.01715,130.18,J095457.88-444839.2,7.969,0.237,-0.038,42041296,0.402,0.345,II,https://asas-sn.osu.edu/variables/280600,2M,2.231903,-1,V,1.0199999999999996
36557487,J064919.01-021554.4,102.32919,-2.26511,13.58,0.99,NON PERIODIC,ROT:,0.79,2458383.8275,3106139830443176960,-5.795,-7.397,42.31773,950.1,,,,,,,1.077,II,https://asas-sn.osu.edu/variables/443475,2M,46.218809,-1,V,7.8232
37448561,J150316.87-542456.4,225.8203,-54.41568,13.94,0.23,71.3508871,SR,1.0,2458136.84065,5887693456073781248,-12.177,-2.139,108.81409,1856.81,J150316.79-542456.4,7.621,1.538,0.028,49955735,2.156,0.954,V,https://asas-sn.osu.edu/variables/AP49955735,2M,110.855427,-1,V,3.577
37883150,J164045.53-524048.5,250.19002,-52.68012,12.54,0.8,NON PERIODIC,L,0.999,2457822.80312,5931100972571427840,-3.408,-12.318,143.9512,2376.19,J164045.48-524048.7,7.238,1.364,0.137,51228050,1.886,0.659,I,https://asas-sn.osu.edu/variables/478654,2M,68.103066,-1,V,1.2559999999999985
38462492,J040614.55-634815.4,61.56062,-63.80428,13.79,0.17,3.3087595,EA,0.999,2456931.65788,4676158532718399488,2.36379,4.5234,19.71065,814.76,J040614.53-634815.4,12.568,0.35,-0.035,36363397,0.631,0.044,III,https://asas-sn.osu.edu/variables/AP36363397,2M,64.380988,-1,V,1.9259999999999984
38494096,J170123.41-323701.4,255.34753,-32.61705,15.15,0.69,4.8963218,EA,0.999,2458176.89035,6026628604409988096,-2.156,0.356,23.52897,2271.61,J170123.48-323701.7,12.95,0.596,-0.095,53221790,0.754,0.473,V,https://asas-sn.osu.edu/variables/AP53221790,2M,20.059117,-1,V,1.7700000000000014
39046291,J004929.72-681252.5,12.37382,-68.21458,11.36,0.16,3.6725826,EA,0.998,2457422.52895,4704362552158921728,21.253,3.237,74.17355,727.9,J004929.72-681252.4,10.919,0.325,-0.034,36483816,0.195,0.025,V,https://asas-sn.osu.edu/variables/AP36483816,2M,68.150319,-1,V,1.0619999999999994
39645962,J164121.16-484550.3,250.33817,-48.76397,9.97,4.2,NON PERIODIC,VAR,0.573,2457779.86923,,,,,,,,,,,,4.788,II,https://asas-sn.osu.edu/variables/353305,2M,17.194187,-1,V,3.1000000000000005
40183989,J050711.27-710712.1,76.79694,-71.12002,13.89,0.14,NON PERIODIC,L,0.983,2457148.45588,4651649490850312192,2.14455,0.14013,113.26953,11119.22,J050711.06-710713.0,10.966,1.113,-0.202,36220666,1.81,0.146,III,https://asas-sn.osu.edu/variables/AP36220666,2M,93.998646,-1,V,3.2540000000000013
40515514,J051004.42-690557.8,77.5184,-69.0994,14.75,0.39,0.6500853,EA,0.721,2456978.69215,4658234564940431360,13.91855,17.111,72.03155,688.96,J051004.37-690556.5,12.863,0.17,-0.093,36264756,0.719,1.052,III,https://asas-sn.osu.edu/variables/AP36264756,2M,70.640774,-1,V,2.0890000000000004
40717334,J051352.82-672655.8,78.47008,-67.44882,11.51,0.13,NON PERIODIC,SDOR,,2457153.45564,4658823112702301184,1.444,0.253,59.01999,8493.52,J051352.99-672654.9,10.37,1.908,1.265,36270295,0.303,1.251,II,https://asas-sn.osu.edu/variables/139830,2M,32.862985,-1,V,1.1240000000000006
40797468,J051354.36-693148.0,78.47652,-69.53,11.45,0.17,NON PERIODIC,SDOR:,,2458358.8385,4658209791374268416,1.477,0.995,47.8831,5672.41,J051354.26-693146.6,9.405,1.283,0.116,36264552,,1.079,II,https://asas-sn.osu.edu/variables/27970,2M,1.420497,-1,V,1.1160000000000014
40800157,J051440.26-695840.1,78.66775,-69.9778,15.33,1.58,401.0383228,RCB,,2457121.53238,4652144545988896768,1.857,0.218,89.36601,10083.47,J051440.21-695839.9,12.796,1.321,1.227,36224631,1.412,0.282,II,https://asas-sn.osu.edu/variables/41119,2M,100.34053,-1,V,4.540000000000001
41232189,J060611.09-660328.7,91.54619,-66.05796,11.06,2.71,701.3650172,VAR,0.441,2457354.64092,,,,,,,,,,,,0.055,II,https://asas-sn.osu.edu/variables/589001,2M,66.835987,-1,V,5.340000000000001
41387532,J170553.13-304932.5,256.47154,-30.82559,15.63,2.03,128.0,M,0.975,2457847.84551,6028534504722453504,-5.459,-1.484,93.84222,3499.65,J170553.12-304932.5,8.998,1.487,0.095,,,0.921,I,https://asas-sn.osu.edu/variables/507507,2M,102.098939,-1,V,5.454000000000001
