tic_id,best_subject_id,best_subject_sector,eb_score,num_votes_eb,num_votes_transit,num_users,num_comments,updated_at,best_subject_img_id,num_subjects,sectors,subject_ids
242172297,64610701,38,3,3,0,4,4,2021-08-03 08:06:21.467000+00:00,c4c9e548-16a4-48e3-ab8d-afa79223230d,1,38,64610701
242198772,56978546,33,1,1,0,1,1,2021-02-15 08:29:22.195000+00:00,dd9f1853-619b-4b98-a46e-9039d3053aac,1,33,56978546
242238486,64595010,38,1,2,1,5,5,2021-07-27 20:14:56.820000+00:00,df1c7826-fffa-422c-903b-84fa8d993d91,1,38,64595010
242247435,64595591,38,2,2,0,3,3,2021-07-25 22:26:07.266000+00:00,b7a7cc0d-f1db-4b0f-b873-ef267a0ccce0,1,38,64595591
242272334,64597347,38,1,1,0,1,1,2021-07-22 11:33:19.818000+00:00,b708cb4e-4efe-46b6-8727-c590f66b86ae,1,38,64597347
242286588,64613866,38,1,4,3,7,7,2021-07-26 09:58:12.012000+00:00,d9cd6361-a133-4bb2-a870-b6f994be930e,1,38,64613866
242302902,34479829,11,2,2,0,3,3,2019-07-14 01:15:14.271000+00:00,e62292ef-0a87-4887-ac63-43e7ef2f6352,2,"11,38","34479829,64617610"
242316748,64614536,38,1,1,0,1,1,2021-07-22 17:26:33.162000+00:00,1ea69afa-f5e9-4776-9d4f-746ed50fd46a,1,38,64614536
242323067,64593533,38,1,1,0,2,2,2021-07-25 01:46:26.088000+00:00,05c410f2-9eb8-49b3-96c2-9656d88a19f0,2,"38,11","64593533,34554826"
242328834,64590260,38,2,2,0,2,2,2021-07-25 15:20:20.625000+00:00,3843c15e-9c45-44a0-a594-1920203abfce,2,"38,11","64590260,34557257"
242336470,34478170,11,2,2,0,2,2,2019-07-13 18:19:58.600000+00:00,9d29ee8d-645d-4f6e-80b2-6bfe22c65187,1,11,34478170
242402846,64615960,38,1,1,0,1,1,2021-07-27 21:39:10.180000+00:00,6e79cc42-b023-4538-ad69-3bf94eed67ba,1,38,64615960
242530449,34472223,11,1,1,0,2,2,2019-07-10 14:52:34.606000+00:00,f7ccca72-2193-4d9e-9052-14e9739039be,1,11,34472223
242544363,64592961,38,2,3,1,3,3,2021-07-25 21:25:15.459000+00:00,370f9083-1857-4b34-976c-40e981938ef3,1,38,64592961
242568288,64593980,38,1,1,0,1,1,2021-07-24 15:34:56.012000+00:00,3290ed05-432b-4655-9e48-2eab1d24036b,1,38,64593980
242574054,64591200,38,1,1,0,1,1,2021-07-23 13:06:10.827000+00:00,7372fc7c-f54c-4691-9fcd-a3f06d7a2caf,1,38,64591200
242583230,34476381,11,2,2,0,2,2,2019-07-13 12:24:21.207000+00:00,cbd9baf3-9903-4618-92a6-deb9e95e0d97,1,11,34476381
242588592,64590693,38,0,1,1,4,4,2021-07-27 05:33:38.823000+00:00,f848b300-fe04-48b2-828d-d15908f32f8b,1,38,64590693
