MAIN_ID,TIC_ID,OTYPES,V__vartyp,V__LoVmax,V__Vmax,V__R_Vmax,V__magtyp,V__UpVmin,V__Vmin,V__R_Vmin,V__UpPeriod,V__period,V__R_period,V__epoch,V__R_epoch,V__D_rt,V__R_D_rt,V__bibcode,RA,DEC,PLX_VALUE,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_R,FLUX_G,FLUX_J,IDS,angDist,Match_Method,Match_Score,Match_Mag,Match_PM,Match_Plx,Match_Aliases,Match_Mag_Band,Match_Mag_Diff,Match_PMRA_DiffPct,Match_PMDEC_DiffPct,Match_Plx_DiffPct,Match_Aliases_NumMatch
,12470221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
,12472994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
,12571728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
TYC 4045-764-1,12825453,*|IR,,,,,,,,,,,,,,,,,33.97860758354,65.99415351707,1.5348,-0.509,-2.979,12.84,12.12,,11.993959,10.687,2MASS J02155486+6559388|TIC 379599171|TYC 4045-764-1|Gaia DR2 515635257962408064|Gaia EDR3 515635257962408064|Gaia DR1 515635253659613056,152.91285,co,-5,F,F,F,F,Vmag,1.8420000000000003,101.73534756386522,46.0588952122969,30.642734162113797,0
2MASS J02155303+6447126,12828458,RG*|*|IR,,,,,,,,,,,,,,,,,33.97095255107,64.78682479447,0.5148,-4.109,0.329,,,,13.156105,10.686,2MASS J02155303+6447126|TIC 12828598|Gaia DR2 515419788044261888|Gaia EDR3 515419788044261888,175.015057,co,-1,T,F,F,F,GAIAmag,0.8424949999999995,110.27535141001628,101.28619626025731,94.30833185918982,0
BD-12    29,12862119,*|IR,,,,,,,,,,,,,,,,,3.99681905521,-12.07753632639,1.7024,-13.15,-17.932,10.55,9.53,,9.293369,7.814,BD-12    29|GSC 05264-00632|2MASS J00155922-1204392|PPM 208570|TYC 5264-632-1|Gaia DR2 2424389574077926400|Gaia EDR3 2424389574077926400,97.645746,co,-5,F,F,F,F,Vmag,9.000000000000002,121.52790851866708,65.73317663695168,71.59807539589855,0
UCAC4 769-019142,13079486,*|IR,,,,,,,,,,,,,,,,,36.00789432618,63.73237328736,0.9586,3.166,-4.077,14.011,13.258,13.094,13.03595,11.624,2MASS J02240188+6343565|UCAC4 769-019142|WISE J022401.88+634356.5|Gaia DR2 514368380052075392|Gaia EDR3 514368380052075392,135.227343,co,-1,T,F,F,F,Vmag,0.7830000000000013,93.93042418014716,89.20640467643041,91.88802667321085,0
HD  14817,13351941,EB*|V*|**|*|IR|UV,,,,,,,,,,,,,,,,,36.41711545,61.54966321,4.69,11.43,-6.07,,,7.919,7.469487,6.448,** STF  257|ADS  1833 AB|AG+61  230|AGASC 530322896|ALS 19961|BD+60   472|CCDM J02257+6133AB|CEL    273|CSI+60   472  1|GC  2895|GCRV 52965|GEN# +1.00014817|GSC 04046-00698|HD  14817|HIC  11318|HIP  11318|IDS 02182+6106 AB|IRAS 02219+6119|IRCO  3552|2MASS J02254013+6132589|PPM  13652|SAO  12277|SKY#  3600|TD1  1394|TIC 13351941|UBV    2468|UCAC3 304-40953|UCAC4 758-021064|uvby98 100014817|V* V559 Cas|WDS J02257+6133AB|WISE J022540.16+613258.7|[KSP2003] G133.9097+00.7035|[KSP2003] J022540.61+613300.4|[M74]+61  62|[VGK85] IC  1805 +61  59|Gaia DR2 513573914171764352|Gaia EDR3 513573914177134592,,tic,-1,F,F,T,T,Tmag,1.0085999999999995,33.54651162790698,52.204724409448815,5.8690744920993385,3
,13459076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
TYC 4050-1655-1,13840107,*|IR,,,,,,,,,,,,,,,,,37.63132757097,63.05433473,2.2062,-9.457,-0.947,11.66,11.17,,11.046951,9.998,GSC 04050-01655|2MASS J02303151+6303155|TIC 13840121|TYC 4050-1655-1|Gaia DR2 514087557905254784|Gaia EDR3 514087557910914048|Gaia DR1 514087553606667520,94.725836,co,-5,F,F,F,F,Vmag,4.44,65.00647548566141,98.05770682243296,86.09856146386647,0
LEDA  602864,13983910,Bla|*|Bz?|Bz?|G|Rad,,,,,,,,,,,,,,,,,75.82952322645,-39.00629090764,,,,17.9,,16.33,20.519775,14.055,6dFGS gJ050319.1-390023|3HSP J050319.1-390022|LEDA  602864|2MASX J05031910-3900223|NVSS J050318-390021|2WHSP J050319.0-390021|Gaia EDR3 4814334640018408832,74.801733,co,-3,F,-,-,F,Tmag,4.511399999999998,,,,0
BD+12  1656,16326602,*|IR,,,,,,,,,,,,,,,,,116.00292460922,12.3549453452,3.6402,-4.134,-9.08,10.09,9.72,,9.749632,9.248,AG+12  938|BD+12  1656|GSC 00786-00020|2MASS J07440070+1221178|PPM 124376|SAO  97194|TIC 16326604|TYC  786-20-1|YZ  12  3065|Gaia DR2 3151807328640719616|Gaia EDR3 3151807328640719616|Gaia DR1 3151807324344183296,141.422699,co,-4,F,F,-,F,Vmag,5.958,96.52020202020202,86.02216748768474,,0
,18029695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
,18422438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
TYC  792-363-1,18914916,*|IR,,,,,,,,,,,,,,,,,118.91643923661,13.76120214595,1.5182,-10.672,-6.314,12.25,11.22,,11.852703,10.365,2MASS J07553994+1345404|TIC 18914939|TYC  792-363-1|Gaia DR2 3152233732994416768|Gaia EDR3 3152233732994416768|Gaia DR1 3152233728697534976,162.677148,co,-1,T,F,F,F,Vmag,0.5899999999999999,34.64668671194204,15.88382985596195,72.12736739294867,0
TYC 5431-1971-1,19515735,*|IR,,,,,,,,,,,,,,,,,124.7174914379,-10.52019269586,0.4204,-2.688,1.846,12.74,12.03,,11.75768,10.112,2MASS J08185219-1031126|TIC 19515708|TYC 5431-1971-1|Gaia DR2 5728273577178826752|Gaia EDR3 5728273577178826752,90.645349,co,-1,T,F,F,F,Vmag,0.2990000000000012,127.5285892042425,146.93964212972733,62.37223206773714,0
,20144513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
,20215452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tic,-1,-,-,-,F,,,,,,0
SDSSCGB 15768.2,21719708,GiG|*|G,,,,,,,,,,,,,,,,,255.9450760961,30.5236983464,,,,,,,21.145895,,SDSSCGB 15768.2|SDSS J170346.81+303125.4|Gaia EDR3 1310014576320077696,109.641238,co,-3,F,-,-,F,GAIAmag,7.495194999999999,,,,0
CRTS J120650.6-423452,21827849,RR*|*|RR?,RRab,,16.9685,,V,,17.2915,,,0.632073,,,,,,2017MNRAS.469.3688D,181.71146301212,-42.58089268218,0.0456,-1.225,-1.783,,17.13,,17.291273,,CRTS J120650.6-423452|Gaia EDR3 6147927586063785728|Gaia DR2 6147927586063785728,169.858027,co,-5,F,F,F,F,Vmag,2.026,70.90855549697686,44.81943296783558,95.80407998012458,0
CD-26  7496,22079739,*|IR,,,,,,,,,,,,,,,,,148.11555503104,-27.09232430301,0.4654,-1.586,-2.666,12.15,10.43,,9.330866,6.559,CD-26  7496|GSC 06611-01035|2MASS J09522773-2705324|PPM 729705|TIC 22079754|TYC 6611-1035-1|Gaia DR2 5657325463389997952|Gaia EDR3 5657325463389997952|Gaia DR1 5657325459092806784,138.487043,co,-4,F,F,-,F,Vmag,6.513999999999999,118.31389743062718,28.570280306724477,,0
HD  56376,22864020,*|IR|UV,,,,,,,,,,,,,,,,,108.7993529921,-36.22562745623,3.3133,-10.05,6.065,7.295,7.371,,7.37078,7.504,CD-36  3464|CEL   1718|Cl* Collinder  135     CK       9|Cl* Collinder  135      B       4|Cl* Collinder  135     GA      60|CPC 18  2915|CPD-36  1193|GEN# +1.00056376|GSC 07115-01623|HD  56376|HIC  35075|HIP  35075|2MASS J07151184-3613322|PPM 283704|SAO 197755|SKY# 13109|TD1  9603|TIC 22864002|TYC 7115-1623-1|UBV M  13105|uvby98 100056376|EQ 071324-3608|Gaia EDR3 5590251367148078848|Gaia DR2 5590251367148078848,91.239571,co,-1,F,T,T,F,Vmag,5.911,7.514770029263977,11.486716261252084,1.580751378098801,0
TYC 2623-412-1,23389349,*|IR,,,,,,,,,,,,,,,,,275.12865186396,31.26645118714,1.1377,19.521,-0.891,12.87,11.65,,11.332817,9.733,2MASS J18203087+3115592|TIC 23389294|TYC 2623-412-1|Gaia DR2 4591754312157255808|Gaia EDR3 4591754312157255808|Gaia DR1 4591754312157255808,150.488068,co,-1,T,F,F,F,Vmag,0.7419999999999991,537.8476583527723,109.75978443035063,53.97039248767029,0
2MASS J15522347-2621572,23997000,*|IR|Y*?|Y*?,,,,,,,,,,,,,,,,,238.09781316225,-26.3659140153,9.8247,-20.737,-29.016,,,,12.306591,9.964,2MASS J15522347-2621572|TIC 23956377|WISEA J155223.45-262157.5|WISE J155223.46-262157.5|Gaia EDR3 6234032983040561920|Gaia DR2 6234032983040561920,152.550197,co,-1,T,F,F,F,GAIAmag,0.871791,1264.0250480174702,1314.4141948377976,252.44549035364005,0
6dFGS gJ092432.9-313214,24536661,*|G,,,,,,,,,,,,,,,,,141.13712968119,-31.53714920732,,,,17.22,,15.87,21.796354,13.741,6dFGS gJ092432.9-313214|2MASX J09243295-3132137|Gaia EDR3 5631408359418128640,150.784572,co,-3,F,-,-,F,Tmag,1.798,,,,0
