TIC_ID,OID,n_OID,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,l_Period,Period,u_Period,RAJ2000,DEJ2000,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
333941034,26922,B,PV Pup,0,EA/DM,,6.88,,V,,,7.32,,V,,1.660728,,116.36971,-14.68617,0.100104,-1,V,1.1690499999999995
334300228,281361,B,ASAS J121210-4949.9,0,ROT,,11.469,,V,(,,0.098,,V,,3.792,,183.04663,-49.83561,6.439427,-1,GAIA,3.4827000000000012
334615194,641860,B,WISE J121409.2-510123,0,EW,,12.591,,W1,(,,0.47,,W1,,0.5164787,,183.53843,-51.02331,44.277684,-1,w1,3.0569999999999986
334703625,2132947,,ZTF J220520.01+611600.8,0,EA,,16.02,,r,(,,0.453,,r,,1.5012538,,331.33339,61.26689,54.018692,-1,GAIA,1.7601999999999993
335092511,632861,B,WISE J141624.1-644613,0,EW|EA,,11.484,,W1,(,,0.47,,W1,,0.8533848,,214.10058,-64.77033,42.105327,-1,w1,2.5440000000000005
335103599,37890,B,BD Vir,0,EA+DSCT,,9.86,,V,,,11.4,,V,,2.548572,,201.66908,-16.10458,40.483843,-1,V,4.577
335103607,37890,B,BD Vir,0,EA+DSCT,,9.86,,V,,,11.4,,V,,2.548572,,201.66908,-16.10458,61.454482,-1,V,5.646000000000001
335352512,2153948,,ZTF J221000.27+615448.1,0,EW,,19.236,,r,(,,0.313,,r,,0.468068,,332.50115,61.91337,108.30032,-1,GAIA,10.319500000000001
335452175,812142,,ASASSN-V J150515.14-470300.2,0,L,,12.92,,V,,,13.15,,V,,,,226.31308,-47.05006,80.864358,-1,V,9.01
335995445,2118888,,ZTF J221328.15+623105.0,0,BY,,16.748,,r,(,,0.105,,r,,5.2458983,,333.3673,62.51808,61.662696,-1,GAIA,5.656400000000001
336296852,2133744,,ZTF J221604.63+653126.6,0,EA,,16.07,,r,(,,0.204,,r,,3.2201626,,334.01933,65.52408,17.494704,-1,GAIA,2.2997999999999994
336434532,2083101,,ZTF J205703.68+554316.3,0,EA,,14.394,,r,(,,0.123,,r,,1.898214,,314.26536,55.7212,28.000238,-1,GAIA,4.48118
336741253,2181842,,ZTF J221934.80+612148.2,0,RS,,17.889,,r,(,,0.195,,r,,1.4991771,,334.89503,61.36341,88.487147,-1,GAIA,3.994999999999999
337262829,692178,,EPIC 202127274,0,VAR,,9.3,,Kp,(,,0.016,,Kp,,8.251244,,101.90142,16.55559,45.818518,-1,GAIA,6.1097
337278357,716157,,ASASSN-V J175627.07-592640.3,0,EB,,13.94,,V,,,14.16,,V,,0.533008,,269.11278,-59.44453,38.426183,-1,V,3.0999999999999996
337370789,705938,,ASASSN-V J130914.12-674136.9,0,RRC,,13.73,,V,,,13.83,,V,,0.224686,,197.30884,-67.69359,37.920904,-1,V,2.684000000000001
337375437,641524,B,WISE J222432.9+654343,0,EA,,16.061,,r,(,,0.469,,r,,2.0693336,,336.13752,65.72872,75.829633,-1,GAIA,1.6042000000000005
338159479,8450,B,BU Cep,0,EA/KE:,,12.2,,pg,,,12.9,,pg,,1.414361,,338.06483,64.97781,0.191989,-1,B,1.237
338464960,19958,B,eta Mus,0,EA,,4.78,,V,,,4.88,,V,,2.396321,,198.81221,-67.89458,58.184511,-1,V,2.423
339258033,24811,B,BN Pav,0,RRAB,,11.2,,pg,,,12.5,,pg,,0.567173,,294.51408,-60.611,0.021169,-1,B,1.9620000000000015
339374052,4635,B,BY Cam,0,AM,,13.6,,V,,,17.5,,V,,0.139753,,85.70334,60.85872,0.016236,-1,V,1.5671999999999997
340058402,843429,,ASASSN-V J073130.58-573145.7,0,ROT:,,14.27,,V,,,14.38,,V,,,,112.87743,-57.52936,74.128831,-1,V,2.7349999999999994
340143956,842506,,ASASSN-V J073440.40-561943.7,0,SR,,13.71,,V,,,13.83,,V,,308.0,,113.66835,-56.3288,50.977659,-1,V,3.569000000000001
341327281,2114058,,ZTF J214003.16+553207.4,0,BY,,18.032,,r,(,,0.1,,r,,2.1037305,,325.01318,55.53539,109.5409,-1,GAIA,6.490600000000001
341525754,381155,B,CSS_J114804.3+255132,0,EA,,16.85,,CV,(,,0.18,,CV,,0.313415,,177.018,25.85897,0.86695,-1,V,1.3893999999999984
341695745,626863,B,ASASSN-V J133353.48-664734.5,0,L,,14.55,,V,,,15.44,,V,,,,203.47285,-66.79291,87.01663,-1,V,2.9570000000000007
342244776,1734188,,ZTF J182257.75+201752.3,0,EW,,18.074,,r,(,,0.36,,r,,0.3387114,,275.74064,20.29788,96.165347,-1,GAIA,9.003220000000002
342399216,451665,B,GDS_J1657482-412955,0,VAR,,10.35,,r,(,,0.16,,r,,,,254.4509,-41.49887,43.73188,-1,GAIA,4.148100000000001
342754262,56301,B,NSV 17866,1,VAR:,,6.97,,V,,,,,,,,,125.30042,-57.97333,0.399141,-1,V,1.0099999999999998
342782002,730423,,ASASSN-V J160225.35-625225.7,0,EA,,11.83,,V,,,12.29,,V,,2.1951,,240.60563,-62.87382,68.016605,-1,V,3.3119999999999994
342866210,2132083,,ZTF J215417.28+593755.6,0,EA,,19.019,,r,(,,0.618,,r,,0.6558102,,328.57202,59.63212,59.223232,-1,GAIA,3.7154999999999987
343285974,451675,B,GDS_J1658359-414044,0,VAR,,11.57,,r,(,,0.23,,r,,,,254.64622,-41.67902,57.368288,-1,GAIA,3.8833
343320735,2163440,,ZTF J224532.17+562542.3,0,EW,,19.538,,r,(,,0.395,,r,,0.3287068,,341.38407,56.42843,61.531436,-1,GAIA,3.8781999999999996
343422347,640205,B,WISE J134348.0-682937,0,EW,,12.437,,W1,(,,0.533,,W1,,0.5154666,,205.95005,-68.49377,114.547864,-1,w1,1.6319999999999997
344023913,82459,B,ASAS J071108-4914.5,0,MISC,,10.74,,V,(,,0.52,,V,,62.0,,107.78392,-49.24081,99.739577,-1,V,1.7759999999999998
344087362,843367,,ASASSN-V J071237.50-530912.6,0,VAR,,14.82,,V,,,15.15,,V,,,,108.15625,-53.1535,54.63251,-1,V,4.121
345324572,2172381,,ZTF J234156.73+595156.3,0,EW,,16.541,,r,(,,0.126,,r,,0.252061,,355.48638,59.86564,43.418696,-1,GAIA,2.8328000000000007
346073081,631427,B,WISE J234813.2+573642,0,EW,,12.823,,g,(,,0.281,,g,,0.6958128,,357.05514,57.6118,51.623933,-1,V,3.318999999999999
346783960,26202,B,bet Per,0,EA/SD,,2.09,,V,,,3.3,,V,,2.86734,,47.04221,40.95567,0.106961,-1,V,3.3331
346881042,2196046,,Gaia DR2 5719401553440940800,0,RRC,,15.317,,r,(,,0.209,,r,,0.2928133,,117.30602,-15.53685,61.15284,-1,GAIA,3.791500000000001
346934659,1549248,,ZTF J000351.43+572155.2,0,EA,,17.066,,g,(,,0.173,,g,,2.2360834,,0.96432,57.36536,47.50741,-1,B,8.639
348021286,1586246,,ZTF J021619.63+573410.4,0,BY,,14.642,,r,(,,0.082,,r,,3.1278315,,34.08182,57.56956,54.836206,-1,GAIA,3.7171000000000003
