TIC,m_TIC,BJD0,e_BJD0,Per,e_Per,Morph,Wp-pf,Dp-pf,Phip-pf,Ws-pf,Ds-pf,Phis-pf,Wp-2g,Dp-2g,Phip-2g,Ws-2g,Ds-2g,Phis-2g,Sectors,UpDate,tesseb_source
103452621,1,1819.789813,0.0003122027,6.4198319,1.3685177e-05,0.191,0.021,0.021,1.0,,,,0.03221,0.024,1.0,,,,"19,25,26",2021-09-16T17:38:29,J/ApJS/258/16/tess-ebs
103566595,1,1816.214538,0.0002227182,4.1944503,6.0033118e-05,0.844,,,-0.063,,,0.066,0.04668,0.008,0.00154,0.001,0.006,0.4998,"19,25,26",2021-09-16T17:38:30,J/ApJS/258/16/tess-ebs
103573024,1,1726.543674,0.0007044958,21.5587749,0.0011870927,0.678,0.063,0.03,1.001,0.077,0.024,0.5,0.1176,0.057,0.003535,,,,"14,21",2021-09-16T17:37:12,J/ApJS/258/16/tess-ebs
103605167,1,1688.17267,0.0002774626,8.4568659,9.7790961e-05,0.149,0.021,0.123,1.0,0.021,0.057,0.275,0.02997,0.134,1.0,0.031,0.064,0.2751,14,2021-09-16T17:37:11,J/ApJS/258/16/tess-ebs
103656297,1,1684.155993,0.0005966206,0.2877918,0.0001464302,0.905,0.132,0.029,1.0,,,,,,,,,,"14,20,21",2021-09-16T17:38:44,J/ApJS/258/16/tess-ebs
103743317,1,1684.682746,0.001225101,1.5396688,1.1536309e-05,0.543,0.104,0.047,1.002,0.093,0.012,0.504,0.1565,0.055,0.000527,0.148,0.016,0.4999,"14,20,21",2021-09-16T17:37:08,J/ApJS/258/16/tess-ebs
104743460,1,1817.472745,0.0001173408,3.193325,4.0457451e-05,0.309,0.042,0.106,0.9999,0.049,0.007,0.499,0.06096,0.114,0.9999,0.067,0.008,0.4988,19,2021-09-16T17:38:38,J/ApJS/258/16/tess-ebs
104909909,1,1684.406924,0.001969858,2.5737914,0.00013492262,0.472,0.077,0.07,1.0,0.068,0.024,0.464,0.1154,0.084,0.0008963,,,,"14,15",2021-09-16T17:37:23,J/ApJS/258/16/tess-ebs
104975120,1,1817.093931,0.0002078668,1.1197175,1.5672163e-05,0.566,0.089,0.041,0.9977,,,,0.1532,0.065,0.9975,,,,19,2021-09-16T17:38:29,J/ApJS/258/16/tess-ebs
105233028,1,1819.696336,0.0003913258,3.6274028,0.00016703465,0.345,0.047,0.06,1.007,,,,0.07344,0.069,0.006825,0.095,0.005,0.3038,19,2021-09-16T17:38:28,J/ApJS/258/16/tess-ebs
105802318,1,1544.615661,0.001223014,0.2781131,7.0518062e-07,0.876,0.223,0.09,0.9994,0.21,0.069,0.49,,,,,,,9,2021-09-16T17:40:53,J/ApJS/258/16/tess-ebs
105992935,1,1544.86168,0.006562871,0.7061056,0.0006381338,0.306,,,1.031,,,-0.042,0.1907,0.003,0.078,,,,9,2021-09-16T17:39:00,J/ApJS/258/16/tess-ebs
106055469,1,1544.591336,0.05680182,0.3646438,2.4650898e-06,0.628,,,0.9881,,,0.083,0.36,0.272,0.9927,,,,9,2021-09-16T17:38:52,J/ApJS/258/16/tess-ebs
106309554,1,1544.478376,8.135959e-05,1.1031609,1.1210896e-05,0.638,0.15,0.142,1.0,,,,0.2941,0.198,0.000479,0.215,0.056,0.5,9,2021-09-16T17:36:19,J/ApJS/258/16/tess-ebs
