MAIN_ID,TIC_ID,Is_EB_SIMBAD,OTYPES,V__vartyp,angDist,Match_Score
ASAS J051433-2519.7,13325340,T,EB*|EB*|V*|*|IR,EA,,5
V* RS Col,13345143,T,EB*|V*|Ce*|*|IR|X,E,,5
HD  34310,13345794,-,*|IR|UV,,,5
WASP-36,13349647,-,V*|*|*|IR,,,5
V* NY Cep,13389059,T,EB*|V*|**|SB*|*|*|IR|UV,E,,1
TYC 4876-110-1,13560980,-,*|IR,,,5
*  15 Hya,13566784,-,SB*|SB*|V*|**|*|IR|UV,,,1
TYC 4876-215-1,13623021,-,*|IR,,,5
TYC 5451-379-1,13625860,-,*|IR,,,2
TYC 5447-1384-1,13738984,-,*|IR,,,5
LS  II +38   67,13780749,F,Pu*|*|IR,SPB,,5
HD  32505,13957444,-,**|*|IR,,,2
HD 194205,13967727,-,*|IR,,,3
HD 229179,13968858,T,EB*|EB*|V*|*|IR,E,,5
TYC 3152-944-1,13974582,T,EB*|*|IR,E,,5
CD-40  1703,13981666,-,*|IR,,,5
TYC 7587-505-1,13982168,T,EB*|*|IR,,,5
UCAC2  14332955,14081980,-,PM*|PM*|*|IR,,,5
TYC 7053-832-1,14091631,-,*|IR,,,5
HD  33512,14091633,-,SB*|*|IR,,,5
HD  33538,14091704,-,*|IR,,,5
TYC 7053-924-1,14124732,-,PM*|*|IR,,,5
V* V2031 Cyg,14207118,T,EB*|EB*|**|V*|*|IR,E,,5
UCAC2  30367311,14280146,-,*|IR,,,3
ASAS J093814-0104.4,14307980,T,EB*|V*|*|IR|X,ED,,5
HD  94603,14344831,-,*|IR,,,1
ATO J111.0874+15.0469,14498338,T,*|EB?|IR,EW:,,5
HD  58366,14611330,-,**|*|IR,,,5
NSVS   5733998,14617089,T,EB*|*|EB?|IR,E,,5
HD 100952,14679411,-,*|IR,,,5
V* RY Gem,14709809,T,EB*|SB*|Em*|V*|*|IR|UV|X,E,,5
V* FZ Leo,14826027,F,Ro*|PM*|V*|*|IR|UV|X,EB,,5
TYC 2697-130-1,14842303,T,EB*|*|IR,E,,5
TYC 2697-883-1,14844585,T,EB*|*|IR,E,,5
TYC 1361-706-1,14850843,-,PM*|*|IR,,,5
V* NO Com,14948284,T,EB*|V*|SB*|blu|*|IR|UV,,,5
CD-52  4998b,15445546,F,Pl|*|Pl?|Pl?,,8.095301,1
UCAC4 195-070834,15449266,-,*|IR,,0.0,5
HD   6396,15613315,T,EB*|V*|*|IR,EA,,5
V* V456 Cyg,15795549,T,EB*|V*|*|IR,EA,,3
TYC 2958-1693-1,16116854,-,PM*|*|IR,,,5
StKM 1-833,16163202,-,PM*|*|IR,,,5
K2-237,16288184,-,*|IR,,,5
[CPR2002] B17,16316642,T,EB*|s*b|SB*|EB*|V*|SB*|V*|*|IR,LPV:,,5
TYC 2567-274-1,16331062,-,*|IR,,,5
TYC 2448-693-1,16479253,-,*|IR,,,3
ATO J102.1866+39.3024,16485009,-,V*|blu|*,LPV:,0.001467,1
BD+15  1661,16488877,-,PM*|*|IR,,,5
HD  49472,16547388,-,**|*|IR|UV,,,3
HD  52524,16596302,-,PM*|*|IR|UV,,,5
V* V700 Cyg,16617827,T,EB*|EB*|PM*|**|V*|*|IR,E,,4
TYC 6822-2535-1,16630397,-,*|IR,,,5
TYC 2951-946-1,16700335,-,*|IR,,,3
BD+37  1653,16703161,-,**|*|IR,,,4
Schulte  1,16728252,T,SB*|EB*|SB*|**|*|IR|X,E,,2
BD+40  4212,16734598,T,EB*|SB*|EB*|SB*|**|V*|*|IR|X,EA:,,5
HD 195689,16740101,-,SB*|*|IR|UV,,,5
HD 207674,16781787,-,*|IR|UV,,,5
LSPM J0927+3930W,16805614,-,PM*|*|IR,,,1
BD+40  2208,16805617,-,SB*|PM*|PM*|SB*|SB*|*|IR|X,,,5
TYC 2991-1756-1,16805628,-,PM*|*|IR,,,5
HD 195789,16946453,-,*|IR|UV,,,3
BD+26   225,17005768,-,*|IR,,,4
TYC 2995-870-1,17206122,-,SB*|*|IR,,,5
TYC 3009-2265-1,17299918,-,*|IR,,,2
HD 144168,17330786,-,*|IR|UV,,,5
HD 144359,17342647,-,*|IR|UV,,,5
HD 145022,17408171,-,*|IR|X,,,5
Schulte 63,17449899,F,V*|bC*|*|IR|UV|X,,,5
RLP  678,17451194,T,EB*|V*|*|IR|UV,E,,2
ROTSE1 J161118.72+353818.9,17467989,T,EB*|V*|*|IR,E,,5
BD+35  2786,17468122,-,PM*|*|IR,,,5
V* AU CrB,17539022,F,Ce*|dS*|V*|*|IR,Cep,,5
ROTSE1 J161342.13+315706.1,17539192,T,EB*|V*|*|IR,EW,,5
V* AV CrB,17562290,T,EB*|EB*|EB*|EB*|EB*|V*|**|*|EB?|IR,EW:,,5
V* AW CrB,17563811,T,dS*|EB*|V*|**|*|IR,EW,,5
HD 146621,17563961,-,PM*|**|*|IR,,,5
V* UX CrB,17568668,T,EB*|V*|*|IR|X,,,5
BD+12  1683,17661643,-,*|IR,,,5
HAT-P-50,17746821,-,*|*|IR,,,5
TYC 7151-2731-1,17760009,-,PM*|*|IR,,,5
PM J07529+1244,17776275,-,PM*|*|IR,,,2
TYC  791-695-1,17862899,-,*|IR,,,1
TYC  791-1006-1,17863112,-,*|IR,,,5
HD  77920,17888155,-,**|*|IR|UV,,,1
BD+40  1990,17901654,-,*|IR,,,5
HD 100018,18028547,-,PM*|**|V*|*|IR|UV|X,,,3
HD 107324,18069450,-,*|IR,,,5
HD 160245,18178958,-,SB*|*|IR,,,5
TYC 1755-509-1,18225199,T,EB*|V*|V*|*|IR,,,3
V* TT Tri,18250189,-,blu|Em*|CV*|V*|*|IR,,,5
V* V1064 Her,18269802,T,EB*|EB*|EB*|V*|*|IR,EW,,5
V* SZ Her,18271803,T,EB*|V*|*|IR,E,,5
CD-34  5596,18281615,-,*|IR,,,5
TYC 2606-1838-1,18319090,T,EB*|*|IR,,,5
ROTSE1 J174353.36+313147.7,18433724,T,EB*|**|V*|*|EB?|IR,EW:,,5
UCAC4 294-054072,18441475,-,*|*|IR,,0.0,5
CRTS J174512.1+332708,18534775,T,EB*|*|EB?|IR,EW:,,2
ROTSE1 J174704.52+295352.1,18566969,T,EB*|V*|*|EB?|IR,EW:,,5
ROTSE1 J174728.53+322127.1,18636142,T,EB*|V*|*|IR,E,,5
BD+13  1796,18915591,-,**|*|IR,,,1
TYC  792-320-1,18940649,-,*|IR,,,5
TYC 5434-780-1,19118532,-,*|IR,,,5
BD-07  2388,19122666,F,Ro*|V*|*|IR|UV|X,rot,,5
BD-11  2287,19186895,-,PM*|*|IR,,,5
HD  69098,19193162,-,*|IR,,,5
TYC 7160-524-1,19271382,-,*|IR,,,5
HD  80302,19438266,-,*|IR,,,5
HD  69789,19451711,-,*|IR,,,5
ATO J124.6941-07.4541,19518720,T,*|EB?|IR,EW:,0.345772,5
HD  80524,19612326,-,*|IR,,,5
TYC 6823-2574-1,19636640,-,*|IR,,,5
TYC 5427-666-1,19686666,-,*|IR,,,5
CD-34  5807,19753375,-,*|IR,,,5
CRTS J092124.8-315746,19757899,T,EB*|*|EB?|IR,EW:,,5
HD  70607,19815581,-,*|IR,,,5
HD  70736,19899729,-,*|IR,,,5
HD  70758,19904393,-,*|IR,,,5
TYC 6600-1119-1,19908570,-,*|IR,,,5
BD-08  2582,19976193,-,PM*|PM*|**|*|IR|X,,,5
V* NT Hya,20042408,F,dS*|V*|*|IR|UV,,,5
HD  40285,20072363,-,*|IR|UV,,,5
HD  40216,20072435,-,*|IR|UV|X,,,5
CD-36  2550,20095466,-,*|IR,,,5
HD  40622,20143906,-,*|IR,,,3
V* ST Col,20176492,T,EB*|V*|*|IR,EA,,5
TYC 7602-773-1,20178111,-,*|IR,,,5
V* TZ Boo,20212631,T,PM*|EB*|**|V*|SB*|*|IR,E,,5
HD 134920,20239565,-,PM*|PM*|*|IR,,,5
V* SS Boo,20299889,-,PM*|SB*|V*|RS*|*|IR|X,E,,5
LP  222-65,20305594,-,PM*|*|IR,ROT,,1
HD 175635,20352516,-,SB*|SB*|**|*|IR,,,3
TWA 37,20414865,-,PM*|*|*|IR|X,,,4
HD  97344,20417152,-,*|IR,,,5
CD-27  7950,20449269,-,*|IR,,,5
CD-26  8443,20489424,-,*|IR,,,3
TYC 6653-23-1,20500819,-,*|IR,,,5
BD-19  3673,20541663,F,RR*|V*|*|IR,RR,,3
TYC 6128-433-1,20614436,-,PM*|*|IR,,,5
TYC 3296-1821-1,20871923,-,*|IR,,,4
Cl* NGC 1039      W    2407,20876588,-,*|IR,,,5
V* LQ Dra,21126323,T,EB*|V*|*|IR,EW,,5
HD 177023,21151699,-,*|IR|UV,,,5
V* RW Tri,21174723,-,Em*|CV*|SB*|V*|*|IR,E,,1
BD+12  1868,21184505,-,PM*|*|IR,,,5
HD 234652,21190018,-,PM*|*|IR,,,5
TYC 3343-532-1,21319374,-,*|IR,,,3
StKM 1-735,21413209,-,*|IR|Y*?,,,3
ASAS J054114-4118.0,21438160,-,V*|*|IR|X,,,5
CD-38  2165,21442712,T,EB*|EB*|PM*|V*|*|IR|X,EB,,5
TYC 2508-612-1,21499327,-,SB*|*|IR,,,5
V* TV LMi,21499609,T,EB*|V*|*|IR,,,5
TYC 7069-275-1,21503829,-,PM*|*|IR,,,5
CD-38  2198,21540586,-,V*|*|IR|X,,,5
CD-43  7422,21639186,-,PM*|*|IR,,0.001921,5
TYC 7598-1516-1,21715341,-,*|IR,,,3
BD+32  2841,21720367,-,*|IR,,,5
TYC 7602-801-1,21729403,T,EB*|V*|*|IR,EW,,5
BD+34  2894,21741925,-,*|IR|X,,,5
HAT-P-18,21744120,-,*|IR,,,5
TYC 6615-509-1,21818238,-,*|IR,,,5
TYC 2595-999-1,21829304,-,*|IR,,,3
HD 105751,21988866,-,*,,0.001476,5
V* BI CVn,22017780,T,SB*|EB*|**|V*|SB*|*|IR,EW,,5
