subject_id,eb_score,num_votes_eb,num_votes_transit,num_users,num_comments,updated_at
57001234,4,4,0,4,4,2021-02-23 15:21:32.931000+00:00
57001237,2,2,0,6,6,2022-02-19 17:47:03.242000+00:00
57001238,1,1,0,1,1,2021-02-16 11:33:55.335000+00:00
57001256,4,5,1,10,24,2021-06-23 19:40:06.026000+00:00
57001274,-1,1,2,4,4,2021-02-23 15:33:05.151000+00:00
57001313,1,1,0,1,1,2021-02-16 18:36:45.141000+00:00
57001318,2,2,0,2,2,2021-02-16 18:46:55.235000+00:00
57001445,-2,2,4,7,7,2021-02-23 16:51:36.369000+00:00
57001463,4,4,0,5,5,2021-02-23 16:20:49.058000+00:00
57001470,1,1,0,1,1,2021-02-14 16:31:56.619000+00:00
57001509,0,2,2,5,5,2021-02-23 18:21:32.184000+00:00
57001535,1,1,0,2,2,2021-02-15 23:22:25.600000+00:00
57001558,-1,2,3,5,5,2021-02-23 16:32:41.755000+00:00
57001595,-1,2,3,8,11,2021-02-16 12:30:12.411000+00:00
57001702,1,1,0,1,1,2021-02-16 19:58:48.573000+00:00
57001751,3,4,1,4,4,2021-02-16 11:03:12.127000+00:00
57001761,5,5,0,5,5,2021-02-14 20:20:10.733000+00:00
57001780,2,2,0,3,3,2021-02-15 15:30:56.686000+00:00
57001804,-1,1,2,5,5,2021-02-15 12:53:49.866000+00:00
57001817,4,4,0,4,5,2021-02-16 20:04:13.744000+00:00
57001823,-1,4,5,9,10,2021-02-17 06:12:18.862000+00:00
57001832,2,2,0,2,2,2021-02-23 17:24:37.884000+00:00
57001875,1,1,0,1,1,2021-02-14 20:14:45.930000+00:00
57001922,3,5,2,5,5,2021-02-13 16:18:36.960000+00:00
57001926,0,1,1,3,3,2021-07-18 16:52:41.222000+00:00
