TIC_ID,ASASSN-V,RAJ2000,DEJ2000,Vmag,Amp,Per,Type,Prob,HJD,Gaia,pmRA,pmDE,Vt,Dist,WISEA,Jmag,J-K,W1-W2,APASS,B-V,E(B-V),Ref,URL,2M,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
441618236,J075740.55+773434.1,119.41894,77.57615,7.35,0.92,NON PERIODIC,VAR,0.257,2456989.96417,1138343737065678848,2.292,-22.401,27.99872,262.32,J075739.78+773434.9,6.292,0.125,0.108,7580463,,0.047,II,https://asas-sn.osu.edu/variables/134931,2M,2.751361,1,V,0.45283999999999924
441619744,J075858.82+724714.7,119.74509,72.78741,11.41,0.26,0.2683835,RRC,0.874,2457095.97655,1134921885080388864,-1.558,-17.738,112.94708,1338.21,J075858.88+724715.1,10.993,0.179,-0.017,7561986,0.117,0.026,II,https://asas-sn.osu.edu/variables/144013,2M,0.774064,1,V,0.10999999999999943
441642514,J135902.76+591747.1,209.76152,59.29641,11.74,0.08,1.6442129,ROT,0.999,2457137.94848,1660722914012273920,-10.51,-57.13,18.80643,68.3,J135902.79+591744.4,9.42,0.757,0.029,9051588,1.162,0.017,II,https://asas-sn.osu.edu/variables/115385,2M,2.436255,1,V,0.2560000000000002
441687696,J140802.82+563148.4,212.01173,56.53011,11.87,0.4,2.2263517,EA,1.0,2457022.12245,1609895171519795200,-6.655,9.834,44.59496,792.32,J140802.70+563148.1,10.904,0.302,0.003,8874780,0.417,0.009,II,https://asas-sn.osu.edu/variables/115318,2M,0.936809,1,V,0.10200000000000031
441690583,J141029.81+545446.9,212.62421,54.91304,11.76,0.37,5.6467392,EA,1.0,2457389.11676,1609185814721669888,0.937,-6.333,14.32742,472.15,J141029.70+545446.2,10.671,0.371,-0.035,8873536,0.691,0.016,II,https://asas-sn.osu.edu/variables/451,2M,1.07375,1,V,0.2870000000000008
441704810,J142159.85+533116.2,215.49937,53.52117,8.01,0.23,500.6276691,VAR,0.638,2456785.89765,1608431790263204096,-2.294,6.364,11.00954,343.35,J142159.86+533116.3,7.74,-0.166,-0.057,,,0.007,II,https://asas-sn.osu.edu/variables/439,2M,0.138825,1,V,0.45999999999999996
441721258,J170139.89+751750.3,255.4162,75.2973,6.94,0.62,NON PERIODIC,VAR,0.272,2456865.85862,1656523844747203840,13.793,-70.349,15.80553,46.51,J170140.13+751750.2,5.549,0.129,0.215,,,0.041,II,https://asas-sn.osu.edu/variables/75926,2M,1.10666,1,V,0.7354200000000004
441734144,J171414.01+764213.6,258.55837,76.70377,11.18,0.79,0.3254046,EW,1.0,2457527.8348,1704795806820110080,-6.538,-37.352,29.32952,163.18,J171413.93+764213.9,9.541,0.508,-0.03,9174342,1.059,0.03,II,https://asas-sn.osu.edu/variables/76947,2M,0.758127,1,V,0.25
441734910,J171300.96+735604.9,258.25398,73.93469,13.76,0.16,2.7175626,EB,0.924,2457184.83596,1655309296714529280,93.318,-30.333,14.93302,32.11,J171300.99+735604.7,9.947,0.801,0.166,9035444,1.828,0.051,VI,https://asas-sn.osu.edu/variables/AP9035444,2M,0.796819,1,V,0.0470000000000006
441764197,J172406.41+735437.8,261.02669,73.91051,11.98,0.56,0.2728877,EW,1.0,2457333.71331,1655263598262475264,-3.504,11.694,11.81812,204.24,J172406.30+735437.8,10.556,0.586,-0.033,9035233,1.022,0.04,II,https://asas-sn.osu.edu/variables/76170,2M,0.451989,1,V,0.016000000000000014
441804674,J174410.97+720303.2,266.04571,72.0509,9.92,0.35,NON PERIODIC,ROT:,0.89,2456933.72473,1651250380821820672,-3.933,19.392,29.79215,317.65,J174410.90+720303.0,8.03,0.678,-0.024,9017255,1.085,0.04,II,https://asas-sn.osu.edu/variables/80416,2M,0.511056,1,V,0.35299999999999976
441804888,J174324.08+723640.2,265.85034,72.61118,11.6,0.12,2.7373171,EA,0.998,2456788.10639,1651482068538044928,2.263,2.33,9.81202,637.31,J174324.08+723640.4,10.721,0.321,-0.024,9018331,0.427,0.04,VI,https://asas-sn.osu.edu/variables/AP9018331,2M,0.117185,1,V,0.29499999999999993
441806350,J174311.64+771027.3,265.79852,77.17425,10.94,0.19,0.5041258,EB,0.999,2457263.91307,1657204236285583104,-16.299,31.905,49.24146,289.96,J174311.64+771027.2,10.004,0.292,-0.004,9044122,0.473,0.046,VI,https://asas-sn.osu.edu/variables/AP9044122,2M,0.41594,1,V,0.0860000000000003
442240473,J094355.49-550302.7,145.9812,-55.05075,9.27,0.39,284.180789,ROT:,0.342,2457800.56514,5308011443900112896,-13.303,11.448,47.80137,574.6,J094355.32-550303.7,7.51,0.709,-0.048,39910245,,2.377,II,https://asas-sn.osu.edu/variables/342935,2M,1.717599,1,V,0.41499999999999915
442382439,J131159.31-631423.0,197.99713,-63.23973,9.69,0.44,NON PERIODIC,VAR,0.324,2457446.86264,5862428946581448704,-29.195,-11.14,51.96189,350.82,J131159.37-631423.8,8.546,0.396,-0.007,49295642,0.599,7.986,II,https://asas-sn.osu.edu/variables/356283,2M,0.846231,1,V,0.5240000000000009
442456453,J094456.77-560102.2,146.23655,-56.01728,8.63,0.3,392.4698717,VAR,0.725,2457453.78676,5307815765191251968,-13.956,7.635,38.42953,509.65,J094456.91-560102.5,8.36,-0.106,-0.055,39904411,-0.23,1.894,II,https://asas-sn.osu.edu/variables/311206,2M,1.476633,1,V,0.47000000000000064
442567883,J154733.11-332327.4,236.88795,-33.39095,11.23,0.3,0.6258969,EA,1.0,2458174.79181,6015406267073799168,22.277,-18.493,23.15498,168.72,J154733.03-332327.4,9.701,0.456,-0.013,53014547,0.688,0.265,II,https://asas-sn.osu.edu/variables/427739,2M,1.209777,1,V,0.07199999999999918
442829369,J155542.52-330636.9,238.92716,-33.11026,9.54,0.19,190.3350508,VAR,0.437,2457657.50417,6012294683529948160,23.725,17.015,25.67824,185.55,J155542.54-330636.7,8.354,0.376,-0.02,52978231,,0.227,II,https://asas-sn.osu.edu/variables/427634,2M,0.049082,1,V,0.0860000000000003
442830360,J155526.58-323903.9,238.86076,-32.65108,12.53,0.55,0.3447402,EW,1.0,2458162.85285,6015313594556186624,-10.199,-18.697,39.67445,393.0,J155526.49-323904.1,11.12,0.491,-0.072,53013746,0.874,0.189,II,https://asas-sn.osu.edu/variables/427879,2M,1.154717,1,V,0.2810000000000006
442918617,J052150.84-134519.0,80.46183,-13.75527,7.21,0.39,413.558108,VAR,0.591,2457031.87055,2985246057361234944,1.35,6.434,8.85521,284.17,J052150.98-134520.3,6.739,-0.035,-0.016,19357890,,0.117,II,https://asas-sn.osu.edu/variables/129943,2M,2.643169,1,V,0.57043
443023057,J061910.14-092207.1,94.79224,-9.36864,9.34,0.52,NON PERIODIC,VAR,0.267,2456896.12245,3004728540115951104,-4.107,2.664,9.80464,422.54,J061910.14-092206.1,9.707,0.014,-0.036,19535066,-0.093,0.776,II,https://asas-sn.osu.edu/variables/210615,2M,0.887844,1,V,0.375
443126408,J062124.63-114621.5,95.35262,-11.77265,5.68,0.69,799.6244653,VAR,0.434,2457827.57018,3001108264938556928,-1.862,0.62,5.73164,616.15,J062124.71-114623.5,5.765,0.282,0.439,19488635,-0.245,0.722,II,https://asas-sn.osu.edu/variables/209889,2M,2.475495,1,V,0.12204000000000015
443203536,J131615.84-614543.5,199.06598,-61.76208,9.84,0.38,NON PERIODIC,GCAS,0.482,2457438.75899,5869321299611876352,-3.778,-1.676,44.77911,2285.73,J131616.10-614544.2,8.692,0.571,0.318,49469129,0.073,4.023,II,https://asas-sn.osu.edu/variables/403158,2M,2.143846,1,V,0.02800000000000047
