HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459270.70238,2021-02-25.2011027,bE,1.48,15.697,12.215,0.010,47.232,0.408,g
2459270.70367,2021-02-25.2024024,bE,1.42,15.652,12.215,0.010,47.203,0.420,g
2459270.70497,2021-02-25.2036932,bE,1.51,15.691,12.202,0.010,47.764,0.415,g
2459271.35209,2021-02-25.8508177,bm,1.53,15.542,12.156,0.011,49.871,0.472,g
2459271.35335,2021-02-25.8520724,bm,1.55,15.572,12.189,0.010,48.352,0.450,g
2459271.35457,2021-02-25.8532989,bm,1.59,15.570,12.181,0.011,48.682,0.461,g
2459271.67701,2021-02-26.1757273,bi,1.45,15.139,12.175,0.015,48.985,0.679,g
2459271.67823,2021-02-26.1769505,bi,1.42,15.180,12.177,0.015,48.895,0.652,g
2459271.67947,2021-02-26.1781922,bi,1.38,15.202,12.187,0.015,48.435,0.630,g
2459272.32470,2021-02-26.8234192,bm,1.56,15.498,12.174,0.011,49.017,0.483,g
2459272.32591,2021-02-26.8246393,bm,1.50,15.494,12.194,0.011,48.127,0.483,g
2459272.32715,2021-02-26.8258694,bm,1.54,15.500,12.198,0.011,47.962,0.494,g
2459272.55801,2021-02-27.0567329,bE,1.49,15.631,12.209,0.009,47.458,0.425,g
2459272.55931,2021-02-27.0580340,bE,1.51,15.646,12.172,0.009,49.116,0.421,g
2459272.56062,2021-02-27.0593339,bE,1.43,15.668,12.203,0.009,47.751,0.405,g
2459273.47145,2021-02-27.9701611,bm,1.58,15.351,12.107,0.012,52.170,0.555,g
2459273.47268,2021-02-27.9713953,bm,1.60,15.372,12.099,0.012,52.545,0.561,g
2459273.47389,2021-02-27.9726109,bm,1.58,15.349,12.099,0.012,52.565,0.560,g
2459276.30495,2021-03-02.8036623,bm,1.59,15.726,12.189,0.008,48.323,0.391,g
2459276.30616,2021-03-02.8048807,bm,1.58,15.740,12.196,0.009,48.041,0.391,g
2459276.30740,2021-03-02.8061144,bm,1.52,15.726,12.191,0.008,48.233,0.392,g
2459276.35582,2021-03-02.8545260,bm,1.55,15.657,12.195,0.009,48.109,0.415,g
2459276.35705,2021-03-02.8557655,bm,1.51,15.621,12.208,0.009,47.501,0.430,g
2459276.35828,2021-03-02.8569918,bm,1.48,15.659,12.195,0.010,48.079,0.433,g
2459276.57253,2021-03-03.0712386,bi,1.43,15.725,12.199,0.009,47.932,0.402,g
2459276.57376,2021-03-03.0724714,bi,1.41,15.713,12.202,0.010,47.787,0.404,g
2459276.57499,2021-03-03.0736998,bi,1.36,15.667,12.203,0.010,47.741,0.422,g
2459277.28873,2021-03-03.7874372,bm,1.49,15.746,12.159,0.009,49.716,0.396,g
2459277.28996,2021-03-03.7886687,bm,1.50,15.713,12.096,0.009,52.679,0.406,g
2459277.29119,2021-03-03.7899002,bm,1.51,15.717,12.100,0.009,52.455,0.404,g
2459277.53276,2021-03-04.0314777,bE,1.44,15.848,12.110,0.008,52.048,0.359,g
2459277.53406,2021-03-04.0327748,bE,1.47,15.865,12.133,0.008,50.922,0.356,g
2459277.53536,2021-03-04.0340784,bE,1.42,15.855,12.109,0.008,52.061,0.358,g
2459277.54525,2021-03-04.0439627,bi,1.45,15.676,12.099,0.009,52.511,0.420,g
2459277.54647,2021-03-04.0451880,bi,1.43,15.669,12.103,0.009,52.340,0.426,g
2459277.54769,2021-03-04.0464052,bi,1.45,15.665,12.079,0.009,53.520,0.427,g
2459277.64355,2021-03-04.1422622,bi,1.42,15.639,12.107,0.009,52.148,0.455,g
2459277.64477,2021-03-04.1434775,bi,1.42,15.636,12.124,0.010,51.354,0.432,g
2459277.64601,2021-03-04.1447231,bi,1.41,15.632,12.082,0.009,53.355,0.437,g
2459277.75362,2021-03-04.2523377,bi,1.39,15.538,12.094,0.010,52.766,0.493,g
2459277.75487,2021-03-04.2535796,bi,1.46,15.465,12.118,0.011,51.644,0.514,g
2459277.75611,2021-03-04.2548156,bi,1.38,15.515,12.125,0.011,51.295,0.490,g
2459278.50771,2021-03-05.0064288,bm,2.04,15.497,12.189,0.010,48.366,0.475,g
2459278.76521,2021-03-05.2639244,bE,1.42,15.762,12.220,0.009,46.958,0.385,g
2459278.76650,2021-03-05.2652096,bE,1.41,15.780,12.214,0.009,47.266,0.380,g
2459278.76780,2021-03-05.2665140,bE,1.45,15.746,12.230,0.009,46.571,0.386,g
2459279.35042,2021-03-05.8491321,bm,1.47,15.748,12.176,0.009,48.923,0.400,g
2459279.35166,2021-03-05.8503646,bm,1.55,15.725,12.153,0.009,49.974,0.398,g
2459279.35287,2021-03-05.8515886,bm,1.56,15.715,12.133,0.009,50.880,0.403,g
2459279.41357,2021-03-05.9122815,bm,1.54,15.688,12.147,0.009,50.222,0.408,g
2459279.41480,2021-03-05.9135127,bm,1.58,15.678,12.158,0.009,49.749,0.415,g
2459279.41601,2021-03-05.9147288,bm,1.50,15.684,12.169,0.010,49.270,0.416,g
2459279.58903,2021-03-06.0877422,bi,1.43,15.681,12.167,0.010,49.359,0.414,g
2459279.59027,2021-03-06.0889773,bi,1.43,15.672,12.147,0.009,50.264,0.423,g
2459279.59151,2021-03-06.0902168,bi,1.37,15.677,12.149,0.009,50.168,0.417,g
2459279.66952,2021-03-06.1682302,bi,1.43,15.634,12.168,0.010,49.334,0.434,g
2459279.67074,2021-03-06.1694518,bi,1.44,15.656,12.171,0.010,49.157,0.432,g
2459279.69828,2021-03-06.1969872,bi,1.52,15.587,12.154,0.010,49.944,0.449,g
2459279.69951,2021-03-06.1982171,bi,1.53,15.583,12.168,0.010,49.311,0.450,g
2459279.70072,2021-03-06.1994331,bi,1.52,15.622,12.174,0.009,49.022,0.431,g
2459280.31567,2021-03-06.8143804,bm,1.54,15.766,12.214,0.009,47.253,0.383,g
2459280.31690,2021-03-06.8156101,bm,1.53,15.745,12.178,0.008,48.845,0.380,g
2459280.31811,2021-03-06.8168262,bm,1.53,15.739,12.176,0.008,48.912,0.388,g
2459280.35659,2021-03-06.8553059,bm,1.54,99.990,99.990,99.990,99.990,99.990,g
2459280.35782,2021-03-06.8565313,bm,1.53,99.990,99.990,99.990,99.990,99.990,g
2459280.35905,2021-03-06.8577623,bm,1.61,99.990,99.990,99.990,99.990,99.990,g
2459280.55883,2021-03-07.0575484,bE,1.42,15.885,12.205,0.007,47.651,0.341,g
2459280.56012,2021-03-07.0588331,bE,1.51,15.885,12.197,0.008,48.003,0.344,g
2459280.56143,2021-03-07.0601445,bE,1.45,15.895,12.205,0.007,47.605,0.337,g
2459280.58789,2021-03-07.0866037,bi,1.38,15.695,12.197,0.010,47.970,0.417,g
2459280.58913,2021-03-07.0878429,bi,1.43,15.691,12.197,0.010,47.982,0.422,g
2459280.59035,2021-03-07.0890674,bi,1.37,15.681,12.184,0.010,48.566,0.420,g
2459280.71952,2021-03-07.2182280,bi,1.41,15.662,12.253,0.010,45.592,0.421,g
2459280.72076,2021-03-07.2194673,bi,1.41,15.652,12.252,0.011,45.628,0.424,g
2459280.72198,2021-03-07.2206917,bi,1.47,15.663,12.272,0.010,44.799,0.411,g
2459281.68576,2021-03-08.1844662,bi,1.41,15.659,12.113,0.009,51.818,0.424,g
2459281.68699,2021-03-08.1856974,bi,1.42,15.668,12.134,0.009,50.865,0.421,g
2459281.68822,2021-03-08.1869298,bi,1.42,15.669,12.129,0.009,51.097,0.424,g
2459282.52219,2021-03-09.0209049,bi,1.48,15.679,12.181,0.010,48.699,0.413,g
2459282.52343,2021-03-09.0221401,bi,1.49,15.677,12.188,0.010,48.400,0.414,g
2459282.52466,2021-03-09.0233733,bi,1.46,15.686,12.199,0.010,47.901,0.414,g
2459283.50450,2021-03-10.0032133,bE,2.11,15.775,12.148,0.009,50.227,0.380,g
2459283.50580,2021-03-10.0045178,bE,1.62,15.822,12.155,0.008,49.915,0.365,g
2459283.50711,2021-03-10.0058266,bE,1.63,15.843,12.160,0.007,49.623,0.355,g
2459285.25848,2021-03-11.7572101,bm,1.53,15.704,12.115,0.009,51.755,0.411,g
2459285.25971,2021-03-11.7584379,bm,1.48,15.695,12.075,0.008,53.687,0.405,g
2459285.26094,2021-03-11.7596657,bm,1.54,15.664,12.128,0.009,51.126,0.422,g
2459285.73936,2021-03-12.2380864,bi,1.41,15.614,12.156,0.010,49.852,0.445,g
2459285.74059,2021-03-12.2393125,bi,1.38,15.558,12.144,0.010,50.372,0.471,g
2459285.74182,2021-03-12.2405386,bi,1.44,15.619,12.155,0.010,49.893,0.446,g
2459286.48236,2021-03-12.9810812,bm,1.51,15.674,12.196,0.010,48.064,0.423,g
2459286.48359,2021-03-12.9823115,bm,1.54,15.656,12.199,0.009,47.911,0.418,g
2459286.48481,2021-03-12.9835347,bm,1.53,15.661,12.191,0.010,48.274,0.423,g
2459287.36131,2021-03-13.8600403,bm,1.50,15.121,12.215,0.017,47.226,0.753,g
2459287.36254,2021-03-13.8612589,bm,1.49,14.829,12.150,0.020,50.117,0.938,g
2459287.36375,2021-03-13.8624787,bm,1.56,14.271,12.149,0.032,50.204,1.485,g
2459287.41332,2021-03-13.9120512,bm,1.56,14.872,12.143,0.020,50.432,0.922,g
2459287.70611,2021-03-14.2048350,bi,1.41,15.624,12.187,0.010,48.407,0.437,g
2459287.70734,2021-03-14.2060666,bi,1.43,15.639,12.174,0.010,49.037,0.429,g
2459287.70856,2021-03-14.2072921,bi,1.43,15.644,12.177,0.010,48.898,0.439,g
2459287.70979,2021-03-14.2085197,bi,1.46,15.639,12.181,0.010,48.688,0.431,g
2459287.71102,2021-03-14.2097518,bi,1.43,15.628,12.187,0.010,48.467,0.438,g
2459287.71225,2021-03-14.2109822,bi,1.43,15.635,12.184,0.010,48.576,0.436,g
2459290.59774,2021-03-17.0964843,bE,1.45,15.882,12.200,0.008,47.855,0.347,g
2459290.59903,2021-03-17.0977685,bE,1.42,15.872,12.192,0.008,48.213,0.350,g
2459290.60030,2021-03-17.0990440,bE,1.45,15.872,12.182,0.008,48.660,0.349,g
2459291.72234,2021-03-18.2210880,bE,1.50,15.839,12.189,0.009,48.337,0.363,g
2459291.72365,2021-03-18.2223899,bE,1.45,15.803,12.185,0.008,48.532,0.369,g
2459291.72495,2021-03-18.2236893,bE,1.46,15.806,12.174,0.009,48.997,0.380,g
2459292.35462,2021-03-18.8533730,bm,1.59,15.711,12.189,0.008,48.371,0.397,g
2459292.35585,2021-03-18.8546023,bm,1.65,15.678,12.166,0.009,49.398,0.405,g
2459292.35708,2021-03-18.8558277,bm,1.61,15.699,12.184,0.009,48.576,0.398,g
2459292.60795,2021-03-19.1067017,bi,1.43,15.660,12.178,0.010,48.847,0.431,g
2459292.60918,2021-03-19.1079252,bi,1.40,15.660,12.156,0.010,49.877,0.426,g
2459292.61041,2021-03-19.1091587,bi,1.41,15.670,12.172,0.010,49.144,0.418,g
2459292.62664,2021-03-19.1253916,bi,1.45,15.609,12.166,0.010,49.371,0.440,g
2459292.62788,2021-03-19.1266265,bi,1.42,15.608,12.173,0.010,49.096,0.439,g
2459292.62910,2021-03-19.1278494,bi,1.43,15.607,12.166,0.010,49.409,0.451,g
2459293.36179,2021-03-19.8605384,bm,1.69,15.649,12.121,0.009,51.499,0.429,g
2459293.36302,2021-03-19.8617660,bm,1.57,15.653,12.100,0.009,52.465,0.423,g
2459293.36424,2021-03-19.8629868,bm,1.57,15.661,12.115,0.008,51.734,0.416,g
2459295.32458,2021-03-21.8233428,bm,1.56,15.676,12.151,0.008,50.060,0.409,g
2459295.32582,2021-03-21.8245768,bm,1.60,15.692,12.176,0.010,48.928,0.411,g
2459295.32704,2021-03-21.8258008,bm,1.56,15.695,12.171,0.008,49.126,0.402,g
2459296.49514,2021-03-22.9939103,bE,1.53,15.788,12.146,0.008,50.290,0.369,g
2459296.49643,2021-03-22.9951981,bE,1.50,15.803,12.163,0.009,49.534,0.373,g
2459296.49772,2021-03-22.9964866,bE,1.51,15.797,12.153,0.009,50.011,0.377,g
2459298.62153,2021-03-25.1203188,bi,1.44,15.489,12.182,0.011,48.678,0.499,g
2459298.62275,2021-03-25.1215351,bi,1.52,15.549,12.208,0.011,47.503,0.466,g
2459298.62397,2021-03-25.1227619,bi,1.50,15.587,12.187,0.011,48.463,0.459,g
2459299.30056,2021-03-25.7993491,bm,1.48,15.652,12.181,0.010,48.731,0.428,g
2459299.30179,2021-03-25.8005817,bm,1.50,15.584,12.149,0.010,50.183,0.457,g
2459299.30302,2021-03-25.8018049,bm,1.56,15.604,12.175,0.009,48.982,0.438,g
2459300.61915,2021-03-27.1179526,bi,1.43,15.370,12.187,0.013,48.413,0.543,g
2459300.62038,2021-03-27.1191789,bi,1.50,15.385,12.190,0.013,48.284,0.543,g
2459300.62160,2021-03-27.1203949,bi,1.44,15.337,12.161,0.013,49.627,0.567,g
2459301.68356,2021-03-28.1823666,bi,1.50,15.223,12.183,0.014,48.615,0.631,g
2459301.68478,2021-03-28.1835966,bi,1.47,15.199,12.170,0.014,49.172,0.644,g
2459301.68601,2021-03-28.1848230,bi,1.45,15.265,12.179,0.014,48.822,0.604,g
2459303.38610,2021-03-29.8849244,bm,1.50,15.468,12.194,0.012,48.131,0.497,g
2459303.38733,2021-03-29.8861476,bm,1.55,15.397,12.199,0.012,47.902,0.533,g
2459303.38855,2021-03-29.8873767,bm,1.48,15.384,12.175,0.012,48.965,0.534,g
2459304.44351,2021-03-30.9423407,bm,1.96,15.398,12.124,0.012,51.360,0.537,g
2459304.44474,2021-03-30.9435734,bm,1.97,15.338,12.135,0.012,50.815,0.561,g
2459304.44600,2021-03-30.9448341,bm,1.66,15.365,12.139,0.011,50.646,0.538,g
2459305.28931,2021-03-31.7881599,bm,1.54,15.675,12.147,0.009,50.265,0.416,g
2459305.29054,2021-03-31.7893828,bm,1.59,15.668,12.112,0.009,51.928,0.417,g
2459305.29177,2021-03-31.7906179,bm,1.54,15.649,12.133,0.010,50.939,0.426,g
2459305.51729,2021-04-01.0161429,bE,1.45,15.866,12.173,0.008,49.079,0.352,g
2459305.51858,2021-04-01.0174298,bE,1.49,15.885,12.177,0.007,48.879,0.343,g
2459305.51986,2021-04-01.0187166,bE,1.45,15.872,12.158,0.008,49.748,0.352,g
2459306.35224,2021-04-01.8510998,bm,1.54,99.990,99.990,99.990,99.990,99.990,g
2459306.35347,2021-04-01.8523302,bm,1.87,99.990,99.990,99.990,99.990,99.990,g
2459306.35470,2021-04-01.8535523,bm,1.66,99.990,99.990,99.990,99.990,99.990,g
2459306.44167,2021-04-01.9405292,bm,1.65,14.544,12.207,0.027,47.543,1.183,g
2459306.44290,2021-04-01.9417604,bm,1.66,14.334,12.218,0.032,47.089,1.393,g
2459306.44412,2021-04-01.9429730,bm,1.56,14.497,12.183,0.029,48.630,1.270,g
2459306.59218,2021-04-02.0910334,bi,1.50,15.679,12.188,0.009,48.402,0.410,g
2459306.59340,2021-04-02.0922501,bi,1.46,15.633,12.193,0.010,48.180,0.436,g
2459306.59463,2021-04-02.0934836,bi,1.51,15.645,12.185,0.010,48.514,0.439,g
2459307.35697,2021-04-02.8558391,bm,2.24,15.582,12.156,0.009,49.874,0.444,g
2459307.35820,2021-04-02.8570667,bm,2.25,15.599,12.177,0.010,48.913,0.454,g
2459307.35942,2021-04-02.8582934,bm,2.25,15.576,12.137,0.009,50.710,0.445,g
2459308.44146,2021-04-03.9403364,bm,1.53,15.611,12.141,0.010,50.576,0.439,g
2459308.44269,2021-04-03.9415619,bm,1.55,15.613,12.127,0.010,51.175,0.447,g
2459308.44392,2021-04-03.9427967,bm,1.56,15.603,12.148,0.010,50.221,0.448,g
2459309.65842,2021-04-05.1573123,bi,1.41,15.664,12.184,0.010,48.603,0.422,g
2459309.65966,2021-04-05.1585412,bi,1.42,15.684,12.185,0.010,48.552,0.426,g
2459309.66088,2021-04-05.1597702,bi,1.45,15.673,12.201,0.010,47.836,0.422,g
2459310.32478,2021-04-05.8236724,bm,1.51,15.725,12.233,0.009,46.452,0.391,g
2459310.32600,2021-04-05.8248909,bm,1.56,15.711,12.199,0.009,47.895,0.392,g
2459310.32722,2021-04-05.8261153,bm,1.58,15.702,12.202,0.009,47.815,0.399,g
2459311.42950,2021-04-06.9284122,bm,1.61,15.642,12.162,0.009,49.603,0.421,g
2459311.43075,2021-04-06.9296530,bm,1.63,15.628,12.143,0.009,50.434,0.423,g
2459311.43197,2021-04-06.9308784,bm,1.59,15.641,12.165,0.010,49.446,0.428,g
2459313.40916,2021-04-08.9080927,bm,1.48,15.687,12.188,0.010,48.397,0.415,g
2459313.41037,2021-04-08.9093068,bm,1.50,15.687,12.174,0.010,49.006,0.413,g
2459313.41160,2021-04-08.9105309,bm,1.49,15.681,12.174,0.010,48.983,0.415,g
2459314.25858,2021-04-09.7575253,bm,1.51,15.744,12.238,0.010,46.228,0.388,g
2459314.25981,2021-04-09.7587506,bm,1.54,15.717,12.217,0.010,47.105,0.403,g
2459314.26104,2021-04-09.7599806,bm,1.50,15.761,12.214,0.009,47.282,0.383,g
2459315.39483,2021-04-10.8937873,bm,1.55,15.232,12.188,0.014,48.393,0.627,g
2459315.39622,2021-04-10.8951807,bm,1.47,15.282,12.149,0.013,50.176,0.594,g
2459315.39747,2021-04-10.8964251,bm,1.53,15.448,12.178,0.012,48.847,0.509,g
2459315.49531,2021-04-10.9942724,bi,1.52,15.728,12.156,0.009,49.830,0.404,g
2459315.49654,2021-04-10.9955005,bi,1.47,15.704,12.166,0.009,49.387,0.422,g
2459315.49777,2021-04-10.9967274,bi,1.48,15.744,12.169,0.009,49.240,0.396,g
2459316.59945,2021-04-12.0984226,bi,1.59,15.680,12.172,0.009,49.139,0.411,g
2459316.60067,2021-04-12.0996444,bi,1.67,15.701,12.159,0.009,49.694,0.403,g
2459316.60190,2021-04-12.1008732,bi,1.61,15.698,12.164,0.009,49.492,0.408,g
2459317.26159,2021-04-12.7605748,bm,1.46,15.658,12.134,0.008,50.872,0.416,g
2459317.26282,2021-04-12.7618039,bm,1.52,15.683,12.181,0.010,48.700,0.412,g
2459317.26405,2021-04-12.7630310,bm,1.54,15.660,12.127,0.009,51.192,0.420,g
2459317.62750,2021-04-13.1264884,bE,1.49,15.849,12.186,0.008,48.464,0.354,g
2459317.62877,2021-04-13.1277628,bE,1.44,15.856,12.196,0.008,48.035,0.355,g
2459317.63005,2021-04-13.1290372,bE,1.50,15.833,12.204,0.008,47.673,0.360,g
2459317.64621,2021-04-13.1451982,bi,1.53,15.661,12.202,0.010,47.767,0.417,g
2459317.64743,2021-04-13.1464192,bi,1.51,15.670,12.194,0.010,48.122,0.428,g
2459317.64866,2021-04-13.1476449,bi,1.56,15.655,12.193,0.010,48.140,0.426,g
2459318.37893,2021-04-13.8779337,bm,1.45,15.657,12.185,0.010,48.517,0.430,g
2459318.38016,2021-04-13.8791641,bm,1.49,15.675,12.221,0.010,46.964,0.417,g
2459318.38139,2021-04-13.8803824,bm,1.45,15.677,12.214,0.010,47.261,0.411,g
2459318.40891,2021-04-13.9079164,bm,1.46,15.658,12.229,0.010,46.632,0.428,g
2459318.41014,2021-04-13.9091439,bm,1.53,15.641,12.200,0.010,47.887,0.435,g
2459318.41137,2021-04-13.9103706,bm,1.50,15.665,12.236,0.010,46.317,0.423,g
2459318.53338,2021-04-14.0323807,bE,1.54,15.894,12.189,0.007,48.356,0.337,g
2459318.53466,2021-04-14.0336616,bE,1.52,15.888,12.196,0.008,48.048,0.343,g
2459318.53594,2021-04-14.0349416,bE,1.48,15.881,12.187,0.007,48.447,0.341,g
2459319.39531,2021-04-14.8943260,bm,1.53,15.513,12.166,0.011,49.398,0.486,g
2459319.39652,2021-04-14.8955460,bm,1.49,15.396,12.157,0.012,49.800,0.544,g
2459319.39775,2021-04-14.8967751,bm,1.48,15.312,12.145,0.013,50.329,0.606,g
2459319.57121,2021-04-15.0702346,bE,1.50,15.854,12.150,0.008,50.130,0.355,g
2459319.57249,2021-04-15.0715106,bE,1.40,15.854,12.141,0.008,50.506,0.357,g
2459319.57377,2021-04-15.0727853,bE,1.53,15.855,12.161,0.007,49.635,0.352,g
2459320.39453,2021-04-15.8935600,bm,1.67,15.596,12.143,0.009,50.446,0.441,g
2459320.39576,2021-04-15.8947821,bm,1.59,15.564,12.095,0.010,52.723,0.460,g
2459320.39698,2021-04-15.8960134,bm,1.64,15.578,12.106,0.009,52.181,0.448,g
2459321.40843,2021-04-16.9074710,bm,2.05,15.593,12.181,0.010,48.714,0.447,g
2459322.39907,2021-04-17.8981217,bm,1.50,15.640,12.212,0.010,47.340,0.428,g
2459322.40029,2021-04-17.8993495,bm,1.53,15.645,12.208,0.010,47.524,0.435,g
2459322.40153,2021-04-17.9005890,bm,1.50,15.634,12.204,0.010,47.686,0.434,g
2459324.51469,2021-04-20.0137848,bE,1.55,15.824,12.128,0.007,51.150,0.359,g
2459324.51598,2021-04-20.0150659,bE,1.51,15.836,12.132,0.008,50.931,0.365,g
2459324.51725,2021-04-20.0163387,bE,1.49,15.825,12.120,0.007,51.552,0.362,g
2459325.28020,2021-04-20.7793025,bm,1.54,15.607,12.162,0.010,49.584,0.442,g
2459325.28143,2021-04-20.7805327,bm,1.52,15.628,12.178,0.010,48.863,0.431,g
2459325.28266,2021-04-20.7817616,bm,1.50,15.629,12.172,0.010,49.120,0.433,g
2459325.34861,2021-04-20.8477133,bm,1.51,15.592,12.177,0.010,48.855,0.450,g
2459325.34983,2021-04-20.8489354,bm,1.57,15.557,12.156,0.010,49.841,0.463,g
2459325.35105,2021-04-20.8501549,bm,1.58,15.576,12.191,0.011,48.262,0.456,g
2459327.34304,2021-04-22.8421744,bm,1.52,15.481,12.158,0.011,49.744,0.500,g
2459327.34426,2021-04-22.8433939,bm,1.50,15.472,12.119,0.011,51.579,0.507,g
2459327.34548,2021-04-22.8446218,bm,1.54,15.447,12.137,0.011,50.737,0.518,g
2459328.25987,2021-04-23.7590243,bm,1.52,15.532,12.129,0.010,51.084,0.469,g
2459328.26108,2021-04-23.7602259,bm,1.48,15.576,12.088,0.010,53.052,0.455,g
2459328.26231,2021-04-23.7614572,bm,1.46,15.553,12.163,0.011,49.530,0.470,g
2459328.31375,2021-04-23.8129003,bm,1.52,15.497,12.101,0.011,52.444,0.493,g
2459328.31497,2021-04-23.8141247,bm,1.51,15.453,12.080,0.010,53.444,0.498,g
2459328.31620,2021-04-23.8153540,bm,1.62,15.500,12.100,0.011,52.450,0.495,g
2459328.60706,2021-04-24.1062216,bE,1.51,15.703,12.183,0.009,48.600,0.402,g
2459328.60834,2021-04-24.1074950,bE,1.48,15.694,12.211,0.010,47.359,0.413,g
2459328.60962,2021-04-24.1087754,bE,1.50,15.683,12.218,0.010,47.098,0.411,g
2459329.61830,2021-04-25.1174756,bE,1.43,15.604,12.213,0.011,47.298,0.445,g
2459329.61958,2021-04-25.1187600,bE,1.46,15.589,12.213,0.011,47.323,0.447,g
2459329.62087,2021-04-25.1200379,bE,1.51,15.634,12.209,0.010,47.500,0.429,g
2459330.57828,2021-04-26.0774738,bi,1.48,15.357,12.249,0.013,45.744,0.556,g
2459330.57950,2021-04-26.0786909,bi,1.50,15.319,12.266,0.014,45.034,0.578,g
2459330.58072,2021-04-26.0799116,bi,1.41,15.327,12.240,0.013,46.137,0.558,g
2459330.59785,2021-04-26.0970424,bE,1.51,15.560,12.252,0.011,45.626,0.461,g
2459330.59914,2021-04-26.0983309,bE,1.47,15.533,12.254,0.011,45.555,0.462,g
2459330.60041,2021-04-26.0996034,bE,1.50,15.557,12.224,0.010,46.821,0.456,g
2459331.61848,2021-04-27.1176881,bi,1.53,15.049,12.123,0.016,51.351,0.736,g
2459332.27618,2021-04-27.7754005,bm,2.05,15.386,12.099,0.012,52.490,0.551,g
2459332.27741,2021-04-27.7766306,bm,2.04,15.341,12.103,0.012,52.314,0.561,g
2459332.27865,2021-04-27.7778678,bm,2.06,15.346,12.093,0.012,52.834,0.556,g
2459336.34186,2021-05-01.8411535,bm,2.04,15.563,12.104,0.009,52.330,0.454,g
2459336.34309,2021-05-01.8423862,bm,2.03,15.561,12.080,0.009,53.428,0.457,g
2459336.34432,2021-05-01.8436153,bm,2.06,15.571,12.122,0.009,51.422,0.451,g
2459336.57473,2021-05-02.0740281,bi,1.41,15.239,12.225,0.015,46.757,0.623,g
2459336.57595,2021-05-02.0752460,bi,1.36,15.305,12.195,0.013,48.064,0.576,g
2459336.57718,2021-05-02.0764784,bi,1.42,15.304,12.205,0.014,47.655,0.582,g
2459337.58180,2021-05-03.0811173,bi,1.39,15.413,12.243,0.012,46.009,0.517,g
2459337.58303,2021-05-03.0823475,bi,1.46,15.514,12.218,0.010,47.072,0.472,g
2459337.58426,2021-05-03.0835708,bi,1.42,15.541,12.244,0.011,45.956,0.464,g
2459338.23416,2021-05-03.7334957,bm,1.51,15.707,12.216,0.010,47.147,0.402,g
2459338.23540,2021-05-03.7347203,bm,1.53,15.711,12.233,0.010,46.420,0.400,g
2459338.23663,2021-05-03.7359535,bm,1.50,15.702,12.220,0.010,47.005,0.403,g
2459339.26996,2021-05-04.7693068,bm,1.52,15.630,12.122,0.010,51.467,0.435,g
2459339.27119,2021-05-04.7705363,bm,1.47,14.698,12.200,0.024,47.883,1.039,g
2459339.27242,2021-05-04.7717631,bm,1.52,14.973,12.164,0.016,49.491,0.764,g
2459340.33931,2021-05-05.8386715,bm,2.27,15.520,12.110,0.010,51.980,0.474,g
2459340.34053,2021-05-05.8399015,bm,2.26,15.526,12.103,0.009,52.361,0.464,g
2459340.34176,2021-05-05.8411232,bm,2.26,15.510,12.093,0.009,52.805,0.471,g
2459343.20892,2021-05-08.7083467,bm,1.47,15.714,12.144,0.009,50.389,0.407,g
2459343.21016,2021-05-08.7095862,bm,1.49,15.705,12.132,0.009,50.959,0.409,g
2459343.21139,2021-05-08.7108138,bm,1.51,15.704,12.119,0.009,51.557,0.405,g
2459344.46111,2021-05-09.9605614,bi,1.52,13.666,12.257,0.064,45.445,2.642,g
2459344.46233,2021-05-09.9617881,bi,1.39,99.990,99.990,99.990,99.990,99.990,g
2459344.46356,2021-05-09.9630162,bi,1.53,99.990,99.990,99.990,99.990,99.990,g
2459344.58211,2021-05-10.0815587,bi,1.39,15.679,12.238,0.010,46.223,0.424,g
2459344.58334,2021-05-10.0827875,bi,1.40,15.595,12.238,0.011,46.240,0.454,g
2459345.23401,2021-05-10.7334729,bm,1.49,15.737,12.205,0.009,47.622,0.396,g
2459345.23523,2021-05-10.7346890,bm,1.48,15.743,12.222,0.009,46.881,0.387,g
2459345.23646,2021-05-10.7359204,bm,1.48,15.737,12.199,0.009,47.927,0.391,g
2459345.30171,2021-05-10.8011696,bm,1.53,15.713,12.223,0.010,46.834,0.403,g
2459345.30292,2021-05-10.8023892,bm,1.56,15.703,12.229,0.010,46.634,0.404,g
2459345.30414,2021-05-10.8036005,bm,1.51,15.702,12.223,0.009,46.876,0.399,g
2459345.58563,2021-05-11.0851118,bE,1.49,15.848,12.249,0.009,45.759,0.355,g
2459345.58691,2021-05-11.0863866,bE,1.53,15.857,12.264,0.009,45.154,0.354,g
2459345.58817,2021-05-11.0876484,bE,1.44,15.858,12.258,0.009,45.372,0.356,g
2459346.49402,2021-05-11.9935144,bE,1.44,15.879,12.180,0.007,48.781,0.344,g
2459346.49532,2021-05-11.9948115,bE,1.52,15.878,12.213,0.008,47.288,0.348,g
2459346.49659,2021-05-11.9960812,bE,1.50,15.894,12.203,0.007,47.746,0.338,g
2459347.32080,2021-05-12.8203114,bm,1.53,15.635,12.110,0.009,51.991,0.440,g
2459347.32202,2021-05-12.8215274,bm,1.56,15.633,12.118,0.009,51.661,0.426,g
2459347.32325,2021-05-12.8227564,bm,1.56,15.649,12.124,0.009,51.355,0.435,g
