HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457036.68805,2015-01-14.1868353,be,1.67,15.518,11.783,0.008,74.245,0.520,V
2457036.68948,2015-01-14.1882627,be,1.71,15.506,11.764,0.007,75.620,0.505,V
2457038.69278,2015-01-16.1915318,be,1.49,99.990,99.990,99.990,99.990,99.990,V
2457038.69422,2015-01-16.1929692,be,1.53,15.496,11.738,0.008,77.376,0.526,V
2457040.68591,2015-01-18.1846296,be,1.53,15.524,11.771,0.007,75.038,0.500,V
2457040.68734,2015-01-18.1860576,be,1.49,15.515,11.781,0.007,74.352,0.511,V
2457043.68670,2015-01-21.1853646,be,1.50,15.508,11.771,0.007,75.126,0.512,V
2457043.68813,2015-01-21.1868063,be,1.50,15.519,11.775,0.007,74.818,0.501,V
2457045.67580,2015-01-23.1744416,be,1.62,15.496,11.744,0.007,76.988,0.518,V
2457045.67723,2015-01-23.1758701,be,1.72,15.506,11.747,0.008,76.747,0.518,V
2457047.66149,2015-01-25.1600984,be,1.60,15.460,11.762,0.007,75.690,0.523,V
2457047.66292,2015-01-25.1615265,be,1.53,15.488,11.778,0.007,74.593,0.518,V
2457050.65658,2015-01-28.1551453,be,1.46,15.431,11.739,0.007,77.354,0.548,V
2457050.65807,2015-01-28.1566325,be,1.44,15.418,11.731,0.007,77.917,0.552,V
2457052.66643,2015-01-30.1649675,be,1.59,15.442,11.753,0.007,76.374,0.542,V
2457052.66785,2015-01-30.1663935,be,1.51,15.463,11.753,0.007,76.391,0.520,V
2457055.66509,2015-02-02.1635899,be,1.75,15.374,11.770,0.009,75.143,0.587,V
2457055.66651,2015-02-02.1650165,be,1.74,15.347,11.780,0.009,74.499,0.595,V
2457057.68194,2015-02-04.1804192,be,1.57,15.312,11.749,0.008,76.599,0.601,V
2457057.68337,2015-02-04.1818424,be,1.53,15.327,11.744,0.008,76.951,0.596,V
2457061.65937,2015-02-08.1578122,be,1.52,15.413,11.757,0.008,76.049,0.553,V
2457061.66081,2015-02-08.1592446,be,1.47,15.441,11.773,0.007,74.952,0.538,V
2457063.74660,2015-02-10.2450177,be,2.01,15.366,11.804,0.008,72.828,0.579,V
